User_ID,User_Type,Start_Location,Temperature_C,Route_Preference,Hydration_Stops_Clicked,Premium_Plan_Purchased,Cooling_Kit_Revenue_AED,App_Rating
10001,Daily Commuter,Jumeirah,37,Metro-Taxi Combo,2,0,,5
10002,Leisure Resident,Deira,44,Metro-Taxi Combo,3,0,,5
10003,Daily Commuter,Jumeirah,45,Metro-Taxi Combo,4,0,,5
10004,Daily Commuter,Marina,35,Shaded Walking,2,0,,5
10005,Tourist,Marina,38,Metro-Taxi Combo,3,0,,5
10006,Tourist,Downtown Dubai,39,Shaded Walking,3,0,75.0,4
10007,Tourist,DIFC,44,Indoor Shortcut,2,0,,5
10008,Leisure Resident,Jumeirah,37,Indoor Shortcut,3,1,,5
10009,Daily Commuter,Downtown Dubai,37,Shaded Walking,0,0,,3
10010,Daily Commuter,DIFC,34,Metro-Taxi Combo,2,0,75.0,5
10011,Tourist,Jumeirah,34,Shaded Walking,2,0,,4
10012,Leisure Resident,Deira,44,Indoor Shortcut,4,1,,5
10013,Leisure Resident,Jumeirah,33,Indoor Shortcut,2,1,,5
10014,Tourist,Marina,47,Shaded Walking,2,0,,4
10015,Tourist,Marina,37,Metro-Taxi Combo,2,1,,4
10016,Tourist,Deira,39,Metro-Taxi Combo,2,0,,5
10017,Tourist,Downtown Dubai,39,Shaded Walking,1,0,,5
10018,Daily Commuter,DIFC,37,Shaded Walking,2,0,,4
10019,Daily Commuter,Jumeirah,45,Metro-Taxi Combo,3,0,,5
10020,Tourist,Marina,34,Indoor Shortcut,1,0,,5
10021,Daily Commuter,Downtown Dubai,41,Shaded Walking,3,0,45.0,5
10022,Tourist,Deira,34,Metro-Taxi Combo,3,0,,3
10023,Tourist,Marina,43,Metro-Taxi Combo,1,0,,5
10024,Daily Commuter,Deira,48,Indoor Shortcut,1,0,45.0,4
10025,Daily Commuter,Jumeirah,36,Indoor Shortcut,4,0,,5
10026,Daily Commuter,DIFC,40,Indoor Shortcut,2,0,,5
10027,Tourist,Marina,38,Indoor Shortcut,1,0,,4
10028,Daily Commuter,Marina,35,Indoor Shortcut,1,0,,5
10029,Daily Commuter,Jumeirah,44,Shaded Walking,0,0,,4
10030,Tourist,Downtown Dubai,44,Metro-Taxi Combo,2,0,,5
10031,Daily Commuter,DIFC,41,Shaded Walking,3,0,45.0,5
10032,Tourist,Marina,48,Shaded Walking,2,0,,5
10033,Tourist,DIFC,44,Shaded Walking,1,0,,5
10034,Leisure Resident,Marina,48,Shaded Walking,1,0,,5
10035,Leisure Resident,DIFC,35,Shaded Walking,4,0,,5
10036,Leisure Resident,Deira,32,Indoor Shortcut,1,0,,5
10037,Tourist,Marina,32,Indoor Shortcut,1,0,,4
10038,Tourist,DIFC,46,Metro-Taxi Combo,3,0,,5
10039,Daily Commuter,Downtown Dubai,44,Shaded Walking,1,0,45.0,5
10040,Daily Commuter,Deira,48,Metro-Taxi Combo,1,0,,4
10041,Tourist,Deira,39,Indoor Shortcut,3,0,,4
10042,Daily Commuter,Downtown Dubai,44,Indoor Shortcut,2,0,,4
10043,Tourist,DIFC,45,Indoor Shortcut,2,0,,4
10044,Leisure Resident,Jumeirah,39,Shaded Walking,2,1,,3
10045,Tourist,Downtown Dubai,39,Shaded Walking,2,0,,4
10046,Daily Commuter,DIFC,46,Indoor Shortcut,3,0,,4
10047,Tourist,Downtown Dubai,44,Metro-Taxi Combo,3,0,,5
10048,Daily Commuter,Downtown Dubai,38,Metro-Taxi Combo,5,1,,4
10049,Daily Commuter,Marina,36,Indoor Shortcut,1,0,,5
10050,Tourist,DIFC,48,Metro-Taxi Combo,3,0,45.0,5
10051,Leisure Resident,Jumeirah,47,Indoor Shortcut,1,0,,5
10052,Daily Commuter,Marina,33,Metro-Taxi Combo,0,0,,5
10053,Leisure Resident,Downtown Dubai,48,Indoor Shortcut,2,0,,2
10054,Leisure Resident,Downtown Dubai,38,Metro-Taxi Combo,3,0,,5
10055,Daily Commuter,Downtown Dubai,44,Shaded Walking,1,0,,5
10056,Leisure Resident,DIFC,45,Indoor Shortcut,4,0,,4
10057,Tourist,DIFC,44,Indoor Shortcut,1,0,,3
10058,Tourist,Marina,42,Metro-Taxi Combo,0,0,,3
10059,Tourist,Jumeirah,47,Indoor Shortcut,2,0,,4
10060,Tourist,Marina,48,Indoor Shortcut,0,0,,2
10061,Daily Commuter,Deira,39,Indoor Shortcut,4,0,,5
10062,Tourist,Downtown Dubai,46,Shaded Walking,1,0,,5
10063,Leisure Resident,Downtown Dubai,40,Shaded Walking,2,1,,5
10064,Daily Commuter,Downtown Dubai,41,Metro-Taxi Combo,1,0,,5
10065,Tourist,Marina,43,Shaded Walking,1,1,75.0,5
10066,Daily Commuter,Marina,32,Metro-Taxi Combo,1,0,45.0,5
10067,Tourist,Downtown Dubai,40,Shaded Walking,2,0,,5
10068,Leisure Resident,Marina,46,Metro-Taxi Combo,1,0,,4
10069,Tourist,DIFC,32,Shaded Walking,2,0,,5
10070,Leisure Resident,DIFC,43,Shaded Walking,3,0,,5
10071,Daily Commuter,Marina,34,Metro-Taxi Combo,4,0,,3
10072,Tourist,Downtown Dubai,42,Indoor Shortcut,2,0,,5
10073,Tourist,Marina,33,Indoor Shortcut,2,0,,5
10074,Leisure Resident,Marina,47,Shaded Walking,3,0,,5
10075,Daily Commuter,Marina,40,Metro-Taxi Combo,3,1,,4
