User_ID,User_Type,Start_Location,Temperature_C,Route_Preference,Hydration_Stops_Clicked,Premium_Plan_Purchased,Cooling_Kit_Revenue_AED,App_Rating,Total_Revenue_AED,Heat_Severity
10001,Daily Commuter,Jumeirah,37,Metro-Taxi Combo,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10002,Leisure Resident,Deira,44,Metro-Taxi Combo,3,0,0.0,5,0.0,Extreme (>42°C)
10003,Daily Commuter,Jumeirah,45,Metro-Taxi Combo,4,0,0.0,5,0.0,Extreme (>42°C)
10004,Daily Commuter,Marina,35,Shaded Walking,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10005,Tourist,Marina,38,Metro-Taxi Combo,3,0,0.0,5,0.0,Moderate Summer (<42°C)
10006,Tourist,Downtown Dubai,39,Shaded Walking,3,0,0.0,4,0.0,Moderate Summer (<42°C)
10007,Tourist,DIFC,44,Indoor Shortcut,2,0,0.0,5,0.0,Extreme (>42°C)
10008,Leisure Resident,Jumeirah,37,Indoor Shortcut,3,1,0.0,5,20.0,Moderate Summer (<42°C)
10009,Daily Commuter,Downtown Dubai,37,Shaded Walking,0,0,0.0,3,0.0,Moderate Summer (<42°C)
10010,Daily Commuter,DIFC,34,Metro-Taxi Combo,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10011,Tourist,Jumeirah,34,Shaded Walking,2,0,0.0,4,0.0,Moderate Summer (<42°C)
10012,Leisure Resident,Deira,44,Indoor Shortcut,4,1,0.0,5,20.0,Extreme (>42°C)
10013,Leisure Resident,Jumeirah,33,Indoor Shortcut,2,1,0.0,5,20.0,Moderate Summer (<42°C)
10014,Tourist,Marina,47,Shaded Walking,2,0,0.0,4,0.0,Extreme (>42°C)
10015,Tourist,Marina,37,Metro-Taxi Combo,2,1,0.0,4,20.0,Moderate Summer (<42°C)
10016,Tourist,Deira,39,Metro-Taxi Combo,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10017,Tourist,Downtown Dubai,39,Shaded Walking,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10018,Daily Commuter,DIFC,37,Shaded Walking,2,0,0.0,4,0.0,Moderate Summer (<42°C)
10019,Daily Commuter,Jumeirah,45,Metro-Taxi Combo,3,0,0.0,5,0.0,Extreme (>42°C)
10020,Tourist,Marina,34,Indoor Shortcut,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10021,Daily Commuter,Downtown Dubai,41,Shaded Walking,3,0,0.0,5,0.0,Moderate Summer (<42°C)
10022,Tourist,Deira,34,Metro-Taxi Combo,3,0,0.0,3,0.0,Moderate Summer (<42°C)
10023,Tourist,Marina,43,Metro-Taxi Combo,1,0,0.0,5,0.0,Extreme (>42°C)
10024,Daily Commuter,Deira,48,Indoor Shortcut,1,0,0.0,4,0.0,Extreme (>42°C)
10025,Daily Commuter,Jumeirah,36,Indoor Shortcut,4,0,0.0,5,0.0,Moderate Summer (<42°C)
10026,Daily Commuter,DIFC,40,Indoor Shortcut,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10027,Tourist,Marina,38,Indoor Shortcut,1,0,0.0,4,0.0,Moderate Summer (<42°C)
10028,Daily Commuter,Marina,35,Indoor Shortcut,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10029,Daily Commuter,Jumeirah,44,Shaded Walking,0,0,0.0,4,0.0,Extreme (>42°C)
10030,Tourist,Downtown Dubai,44,Metro-Taxi Combo,2,0,0.0,5,0.0,Extreme (>42°C)
10031,Daily Commuter,DIFC,41,Shaded Walking,3,0,0.0,5,0.0,Moderate Summer (<42°C)
10032,Tourist,Marina,48,Shaded Walking,2,0,0.0,5,0.0,Extreme (>42°C)
10033,Tourist,DIFC,44,Shaded Walking,1,0,0.0,5,0.0,Extreme (>42°C)
10034,Leisure Resident,Marina,48,Shaded Walking,1,0,0.0,5,0.0,Extreme (>42°C)
10035,Leisure Resident,DIFC,35,Shaded Walking,4,0,0.0,5,0.0,Moderate Summer (<42°C)
10036,Leisure Resident,Deira,32,Indoor Shortcut,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10037,Tourist,Marina,32,Indoor Shortcut,1,0,0.0,4,0.0,Moderate Summer (<42°C)
10038,Tourist,DIFC,46,Metro-Taxi Combo,3,0,0.0,5,0.0,Extreme (>42°C)
10039,Daily Commuter,Downtown Dubai,44,Shaded Walking,1,0,0.0,5,0.0,Extreme (>42°C)
10040,Daily Commuter,Deira,48,Metro-Taxi Combo,1,0,0.0,4,0.0,Extreme (>42°C)
10041,Tourist,Deira,39,Indoor Shortcut,3,0,0.0,4,0.0,Moderate Summer (<42°C)
10042,Daily Commuter,Downtown Dubai,44,Indoor Shortcut,2,0,0.0,4,0.0,Extreme (>42°C)
10043,Tourist,DIFC,45,Indoor Shortcut,2,0,0.0,4,0.0,Extreme (>42°C)
10044,Leisure Resident,Jumeirah,39,Shaded Walking,2,1,0.0,3,20.0,Moderate Summer (<42°C)
10045,Tourist,Downtown Dubai,39,Shaded Walking,2,0,0.0,4,0.0,Moderate Summer (<42°C)
10046,Daily Commuter,DIFC,46,Indoor Shortcut,3,0,0.0,4,0.0,Extreme (>42°C)
10047,Tourist,Downtown Dubai,44,Metro-Taxi Combo,3,0,0.0,5,0.0,Extreme (>42°C)
10048,Daily Commuter,Downtown Dubai,38,Metro-Taxi Combo,5,1,0.0,4,20.0,Moderate Summer (<42°C)
10049,Daily Commuter,Marina,36,Indoor Shortcut,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10050,Tourist,DIFC,48,Metro-Taxi Combo,3,0,0.0,5,0.0,Extreme (>42°C)
10051,Leisure Resident,Jumeirah,47,Indoor Shortcut,1,0,0.0,5,0.0,Extreme (>42°C)
10052,Daily Commuter,Marina,33,Metro-Taxi Combo,0,0,0.0,5,0.0,Moderate Summer (<42°C)
10053,Leisure Resident,Downtown Dubai,48,Indoor Shortcut,2,0,0.0,2,0.0,Extreme (>42°C)
10054,Leisure Resident,Downtown Dubai,38,Metro-Taxi Combo,3,0,0.0,5,0.0,Moderate Summer (<42°C)
10055,Daily Commuter,Downtown Dubai,44,Shaded Walking,1,0,0.0,5,0.0,Extreme (>42°C)
10056,Leisure Resident,DIFC,45,Indoor Shortcut,4,0,0.0,4,0.0,Extreme (>42°C)
10057,Tourist,DIFC,44,Indoor Shortcut,1,0,0.0,3,0.0,Extreme (>42°C)
10058,Tourist,Marina,42,Metro-Taxi Combo,0,0,0.0,3,0.0,Moderate Summer (<42°C)
10059,Tourist,Jumeirah,47,Indoor Shortcut,2,0,0.0,4,0.0,Extreme (>42°C)
10060,Tourist,Marina,48,Indoor Shortcut,0,0,0.0,2,0.0,Extreme (>42°C)
10061,Daily Commuter,Deira,39,Indoor Shortcut,4,0,0.0,5,0.0,Moderate Summer (<42°C)
10062,Tourist,Downtown Dubai,46,Shaded Walking,1,0,0.0,5,0.0,Extreme (>42°C)
10063,Leisure Resident,Downtown Dubai,40,Shaded Walking,2,1,0.0,5,20.0,Moderate Summer (<42°C)
10064,Daily Commuter,Downtown Dubai,41,Metro-Taxi Combo,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10065,Tourist,Marina,43,Shaded Walking,1,1,75.0,5,95.0,Extreme (>42°C)
10066,Daily Commuter,Marina,32,Metro-Taxi Combo,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10067,Tourist,Downtown Dubai,40,Shaded Walking,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10068,Leisure Resident,Marina,46,Metro-Taxi Combo,1,0,0.0,4,0.0,Extreme (>42°C)
10069,Tourist,DIFC,32,Shaded Walking,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10070,Leisure Resident,DIFC,43,Shaded Walking,3,0,0.0,5,0.0,Extreme (>42°C)
10071,Daily Commuter,Marina,34,Metro-Taxi Combo,4,0,0.0,3,0.0,Moderate Summer (<42°C)
10072,Tourist,Downtown Dubai,42,Indoor Shortcut,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10073,Tourist,Marina,33,Indoor Shortcut,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10074,Leisure Resident,Marina,47,Shaded Walking,3,0,0.0,5,0.0,Extreme (>42°C)
10075,Daily Commuter,Marina,40,Metro-Taxi Combo,3,1,0.0,4,20.0,Moderate Summer (<42°C)
10076,Daily Commuter,Deira,46,Indoor Shortcut,2,1,0.0,5,20.0,Extreme (>42°C)
10077,Daily Commuter,DIFC,43,Metro-Taxi Combo,3,1,0.0,1,20.0,Extreme (>42°C)
10078,Tourist,Jumeirah,32,Indoor Shortcut,1,0,0.0,4,0.0,Moderate Summer (<42°C)
10079,Daily Commuter,Jumeirah,44,Metro-Taxi Combo,4,0,0.0,3,0.0,Extreme (>42°C)
10080,Tourist,Deira,45,Shaded Walking,0,0,0.0,5,0.0,Extreme (>42°C)
10081,Leisure Resident,Marina,39,Metro-Taxi Combo,5,0,0.0,5,0.0,Moderate Summer (<42°C)
10082,Daily Commuter,Deira,39,Indoor Shortcut,2,1,0.0,4,20.0,Moderate Summer (<42°C)
10083,Tourist,Deira,43,Shaded Walking,1,0,0.0,5,0.0,Extreme (>42°C)
10084,Tourist,Downtown Dubai,32,Metro-Taxi Combo,1,1,0.0,4,20.0,Moderate Summer (<42°C)
10085,Tourist,DIFC,42,Indoor Shortcut,1,0,0.0,3,0.0,Moderate Summer (<42°C)
10086,Tourist,Jumeirah,39,Shaded Walking,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10087,Daily Commuter,Marina,41,Metro-Taxi Combo,1,0,0.0,3,0.0,Moderate Summer (<42°C)
10088,Daily Commuter,Jumeirah,42,Indoor Shortcut,4,0,0.0,5,0.0,Moderate Summer (<42°C)
10089,Leisure Resident,Jumeirah,38,Metro-Taxi Combo,3,1,0.0,2,20.0,Moderate Summer (<42°C)
10090,Daily Commuter,DIFC,42,Metro-Taxi Combo,0,0,0.0,3,0.0,Moderate Summer (<42°C)
10091,Tourist,Jumeirah,48,Shaded Walking,2,1,0.0,5,20.0,Extreme (>42°C)
10092,Daily Commuter,Jumeirah,32,Shaded Walking,0,0,0.0,5,0.0,Moderate Summer (<42°C)
10093,Daily Commuter,Deira,39,Indoor Shortcut,0,0,0.0,2,0.0,Moderate Summer (<42°C)
10094,Daily Commuter,DIFC,37,Shaded Walking,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10095,Daily Commuter,Downtown Dubai,37,Indoor Shortcut,3,0,0.0,5,0.0,Moderate Summer (<42°C)
10096,Daily Commuter,Marina,36,Metro-Taxi Combo,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10097,Daily Commuter,Jumeirah,44,Metro-Taxi Combo,2,0,0.0,3,0.0,Extreme (>42°C)
10098,Daily Commuter,Marina,39,Indoor Shortcut,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10099,Tourist,Downtown Dubai,40,Metro-Taxi Combo,0,0,0.0,5,0.0,Moderate Summer (<42°C)
10100,Tourist,Marina,48,Shaded Walking,2,0,0.0,2,0.0,Extreme (>42°C)
10101,Tourist,Downtown Dubai,34,Metro-Taxi Combo,3,0,0.0,5,0.0,Moderate Summer (<42°C)
10102,Daily Commuter,Deira,42,Shaded Walking,3,0,0.0,5,0.0,Moderate Summer (<42°C)
10103,Tourist,Jumeirah,48,Indoor Shortcut,3,0,0.0,5,0.0,Extreme (>42°C)
10104,Daily Commuter,Downtown Dubai,33,Indoor Shortcut,3,0,0.0,5,0.0,Moderate Summer (<42°C)
10105,Leisure Resident,Marina,39,Metro-Taxi Combo,0,1,0.0,5,20.0,Moderate Summer (<42°C)
10106,Tourist,Jumeirah,38,Metro-Taxi Combo,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10107,Daily Commuter,Deira,48,Shaded Walking,2,0,0.0,5,0.0,Extreme (>42°C)
10108,Daily Commuter,Jumeirah,37,Shaded Walking,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10109,Tourist,Downtown Dubai,37,Metro-Taxi Combo,4,0,0.0,5,0.0,Moderate Summer (<42°C)
10110,Tourist,Deira,33,Metro-Taxi Combo,0,1,0.0,4,20.0,Moderate Summer (<42°C)
10111,Tourist,Marina,37,Indoor Shortcut,1,0,0.0,4,0.0,Moderate Summer (<42°C)
10112,Tourist,Deira,36,Indoor Shortcut,4,0,0.0,5,0.0,Moderate Summer (<42°C)
10113,Leisure Resident,Deira,35,Indoor Shortcut,1,0,0.0,1,0.0,Moderate Summer (<42°C)
10114,Leisure Resident,DIFC,48,Metro-Taxi Combo,2,0,0.0,5,0.0,Extreme (>42°C)
10115,Daily Commuter,Deira,42,Metro-Taxi Combo,4,0,0.0,5,0.0,Moderate Summer (<42°C)
10116,Leisure Resident,Deira,35,Metro-Taxi Combo,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10118,Tourist,Marina,48,Metro-Taxi Combo,1,0,0.0,5,0.0,Extreme (>42°C)
10119,Leisure Resident,Jumeirah,40,Shaded Walking,2,0,0.0,2,0.0,Moderate Summer (<42°C)
10120,Daily Commuter,Jumeirah,35,Metro-Taxi Combo,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10121,Leisure Resident,Downtown Dubai,45,Metro-Taxi Combo,3,0,0.0,4,0.0,Extreme (>42°C)
10122,Leisure Resident,Jumeirah,34,Metro-Taxi Combo,3,0,0.0,4,0.0,Moderate Summer (<42°C)
10123,Tourist,DIFC,45,Metro-Taxi Combo,1,0,0.0,4,0.0,Extreme (>42°C)
10124,Tourist,DIFC,39,Metro-Taxi Combo,3,0,0.0,4,0.0,Moderate Summer (<42°C)
10125,Tourist,Downtown Dubai,32,Shaded Walking,3,0,0.0,4,0.0,Moderate Summer (<42°C)
10126,Daily Commuter,Marina,41,Shaded Walking,3,0,0.0,4,0.0,Moderate Summer (<42°C)
10127,Leisure Resident,Marina,47,Metro-Taxi Combo,2,0,0.0,5,0.0,Extreme (>42°C)
10128,Leisure Resident,Jumeirah,39,Indoor Shortcut,0,0,0.0,5,0.0,Moderate Summer (<42°C)
10129,Tourist,Jumeirah,32,Metro-Taxi Combo,4,0,0.0,4,0.0,Moderate Summer (<42°C)
10130,Daily Commuter,Jumeirah,43,Metro-Taxi Combo,1,0,0.0,4,0.0,Extreme (>42°C)
10131,Daily Commuter,Marina,39,Metro-Taxi Combo,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10132,Tourist,Deira,47,Indoor Shortcut,2,0,0.0,5,0.0,Extreme (>42°C)
10133,Tourist,DIFC,35,Indoor Shortcut,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10134,Tourist,Deira,37,Indoor Shortcut,2,0,0.0,1,0.0,Moderate Summer (<42°C)
10135,Leisure Resident,Deira,43,Shaded Walking,6,1,0.0,5,20.0,Extreme (>42°C)
10136,Tourist,Marina,40,Indoor Shortcut,0,0,0.0,5,0.0,Moderate Summer (<42°C)
10137,Daily Commuter,Deira,46,Shaded Walking,4,0,0.0,5,0.0,Extreme (>42°C)
10138,Daily Commuter,Downtown Dubai,47,Shaded Walking,2,0,0.0,3,0.0,Extreme (>42°C)
10139,Daily Commuter,Jumeirah,43,Indoor Shortcut,1,0,0.0,4,0.0,Extreme (>42°C)
10140,Leisure Resident,Downtown Dubai,45,Indoor Shortcut,2,0,0.0,4,0.0,Extreme (>42°C)
10141,Leisure Resident,DIFC,44,Indoor Shortcut,4,0,0.0,4,0.0,Extreme (>42°C)
10142,Tourist,Jumeirah,33,Shaded Walking,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10143,Daily Commuter,Deira,34,Metro-Taxi Combo,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10144,Tourist,DIFC,41,Indoor Shortcut,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10145,Tourist,Jumeirah,40,Indoor Shortcut,5,0,0.0,5,0.0,Moderate Summer (<42°C)
10146,Tourist,Deira,39,Indoor Shortcut,1,1,0.0,5,20.0,Moderate Summer (<42°C)
10147,Daily Commuter,Downtown Dubai,41,Shaded Walking,0,1,0.0,4,20.0,Moderate Summer (<42°C)
10148,Daily Commuter,Jumeirah,34,Shaded Walking,2,0,0.0,5,0.0,Moderate Summer (<42°C)
10149,Tourist,Deira,36,Metro-Taxi Combo,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10150,Tourist,Downtown Dubai,34,Indoor Shortcut,0,0,0.0,4,0.0,Moderate Summer (<42°C)
10151,Leisure Resident,DIFC,47,Shaded Walking,1,0,0.0,4,0.0,Extreme (>42°C)
10152,Tourist,DIFC,48,Metro-Taxi Combo,1,0,0.0,5,0.0,Extreme (>42°C)
10153,Tourist,DIFC,46,Indoor Shortcut,2,0,0.0,5,0.0,Extreme (>42°C)
10154,Daily Commuter,DIFC,34,Shaded Walking,2,0,0.0,1,0.0,Moderate Summer (<42°C)
10155,Leisure Resident,Marina,43,Indoor Shortcut,2,0,0.0,5,0.0,Extreme (>42°C)
10156,Tourist,Jumeirah,40,Indoor Shortcut,0,0,0.0,5,0.0,Moderate Summer (<42°C)
10157,Daily Commuter,Jumeirah,43,Shaded Walking,3,1,45.0,5,65.0,Extreme (>42°C)
10158,Daily Commuter,Marina,46,Shaded Walking,1,0,0.0,3,0.0,Extreme (>42°C)
10159,Tourist,Deira,33,Shaded Walking,1,0,0.0,4,0.0,Moderate Summer (<42°C)
10160,Daily Commuter,Deira,43,Indoor Shortcut,3,0,0.0,5,0.0,Extreme (>42°C)
10161,Daily Commuter,DIFC,35,Indoor Shortcut,1,1,0.0,5,20.0,Moderate Summer (<42°C)
10162,Daily Commuter,Downtown Dubai,47,Metro-Taxi Combo,0,0,0.0,4,0.0,Extreme (>42°C)
10163,Daily Commuter,Deira,47,Indoor Shortcut,1,0,0.0,4,0.0,Extreme (>42°C)
10164,Daily Commuter,Downtown Dubai,32,Shaded Walking,2,1,45.0,4,65.0,Moderate Summer (<42°C)
10165,Tourist,Jumeirah,33,Indoor Shortcut,2,0,0.0,4,0.0,Moderate Summer (<42°C)
10166,Leisure Resident,Downtown Dubai,34,Metro-Taxi Combo,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10167,Tourist,Jumeirah,48,Metro-Taxi Combo,1,0,0.0,5,0.0,Extreme (>42°C)
10168,Tourist,Marina,32,Shaded Walking,4,0,0.0,4,0.0,Moderate Summer (<42°C)
10169,Tourist,Marina,37,Shaded Walking,3,0,0.0,3,0.0,Moderate Summer (<42°C)
10170,Daily Commuter,DIFC,46,Metro-Taxi Combo,0,0,0.0,5,0.0,Extreme (>42°C)
10171,Daily Commuter,Deira,45,Metro-Taxi Combo,1,0,0.0,2,0.0,Extreme (>42°C)
10172,Tourist,DIFC,46,Metro-Taxi Combo,3,0,0.0,5,0.0,Extreme (>42°C)
10173,Daily Commuter,Jumeirah,45,Shaded Walking,3,0,0.0,5,0.0,Extreme (>42°C)
10174,Tourist,DIFC,36,Metro-Taxi Combo,1,0,0.0,5,0.0,Moderate Summer (<42°C)
10175,Daily Commuter,Downtown Dubai,37,Metro-Taxi Combo,2,1,0.0,4,20.0,Moderate Summer (<42°C)
